id,product_id,category_id
1,1,1
2,2,2
3,3,8
4,4,3
5,4,5
6,5,1
7,6,11
8,7,1
9,8,4
10,9,13
11,10,2
12,12,1
13,13,2
14,13,5
15,14,8
16,15,10
17,16,1
18,17,1
19,18,4
20,19,3
21,20,1
22,21,1
23,22,1
24,23,6
25,24,5
26,25,1
27,26,2
28,27,4
29,28,1
30,29,13
31,30,1
32,31,4
33,32,1
34,33,1
35,34,1
36,35,1
37,36,4
38,37,7
39,38,1
40,39,3
41,40,1
42,41,1
43,42,9
44,44,10
45,45,3
46,46,1
47,47,1
48,48,12
49,49,1
50,50,1
51,51,6
52,52,7
53,54,9
54,55,4
55,56,1
56,57,9
57,58,10
58,59,1
59,60,9
60,61,9
61,72,9
62,89,1
63,90,9
64,94,6